Reference, Quantity, Value, Footprint, Datasheet, Part, PartAlt
C1 ,1,"10 uF","Capacitor_SMD:C_0805_2012Metric","~","C2012X5R1V106K085AC",""
C10 C23 C21 C22 C11 C18 C2 C19 C4 C17 C20 ,11,"100 nF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R7BB104",""
C12 C9 ,2,"10 uF","Capacitor_SMD:CP_Elec_5x5.8","https://www.cde.com/resources/catalogs/AFK.pdf","EEE-HP0J100R",""
C13 ,1,"220 uF","Capacitor_SMD:CP_Elec_8x10","https://www.cde.com/resources/catalogs/AFK.pdf","EEE-HB0J221AP",""
C15 C14 C16 ,3,"47 uF","Capacitor_SMD:C_1210_3225Metric","~","GRM32ER61C476KE15L",""
C27 C28 C29 C30 C25 C26 C24 C31 ,8,".01 uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB103",""
C3 ,1,"470 uF","Capacitor_SMD:CP_Elec_16x17.5","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf","EEV-FK1H471M",""
C5 C6 ,2,"4.7 uF","Capacitor_SMD:C_0805_2012Metric","~","C2012X5R1H475K125AB",""
C7 ,1,"220 nF","Capacitor_SMD:C_0805_2012Metric","~","C2012X5R1H224K125AA",""
C8 ,1,"1 uF","Capacitor_SMD:C_0805_2012Metric","~","C0805C105K4RACTU",""
D1 ,1,"CD-MBL206SL","Diode_SMD:Diode_Bridge_Bourns_CD-MBL2xxS","~","CD-MBL206SL",""
D10 ,1,"RELAY3","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216CGCK",""
D11 ,1,"G","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216ZGC",""
D12 ,1,"Y1","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216QBC/D",""
D13 ,1,"Y2","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216QBC/D",""
D14 ,1,"W1","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216SURCK",""
D15 ,1,"W2","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216SURCK",""
D16 ,1,"MISC1","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216SYCK",""
D17 ,1,"MISC2","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216SYCK",""
D18 ,1,"MISC3","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216SYCK",""
D2 ,1,"3V3","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","597-6901-607F",""
D3 ,1,"STATUS","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216SECK",""
D4 ,1,"5V","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","597-6901-607F",""
D5 D7 D9 ,3,"1N4148","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","1N4148W",""
D6 ,1,"RELAY1","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216CGCK",""
D8 ,1,"RELAY2","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216CGCK",""
F1 ,1,"1.5A","Fuse:Fuse_2920_7451Metric","http://m.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_2920l_datasheet.pdf.pdf","2920L150DR",""
H4 H5 H1 H2 H3 ,5,"MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
H6 ,1,"MountingHole","MountingHole:MountingHole_5mm","~"
J1 ,1,"7.5 TO 40 V","Connector_BarrelJack:BarrelJack_Horizontal","~","694106301002",""
J10 ,1,"DISPLAY_2","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Vertical","~"
J11 ,1,"HVAC","ClimateSprinklerController:PhoenixContact_SPTAF_1_12-3.5-IL_1x12_P3.50mm_Vertical","~"
J12 ,1,"RELAY","ClimateSprinklerController:PhoenixContact_SPTAF_1_12-3.5-IL_1x12_P3.50mm_Vertical","~"
