Component,Quantity Per PCB,References,Value,MPN1,MPN2,Footprint,Population
1,8,C24 C25 C26 C27 C28 C29 C30 C31,.01 uF,CC0805KRX7R9BB103,,C_0805_2012Metric,
2,11,C2 C4 C10 C11 C17 C18 C19 C20 C21 C22 C23,100 nF,CC0805KRX7R7BB104,,C_0805_2012Metric,
3,1,C7,220 nF,C2012X5R1H224K125AA,,C_0805_2012Metric,
4,1,C8,1 uF,C0805C105K4RACTU,,C_0805_2012Metric,
5,2,C5 C6,4.7 uF,C2012X5R1H475K125AB,,C_0805_2012Metric,
6,1,C1,10 uF,C2012X5R1V106K085AC,,C_0805_2012Metric,
7,2,C9 C12,10 uF,EEE-HP0J100R,,CP_Elec_5x5.8,
8,3,C14 C15 C16,47 uF,GRM32ER61C476KE15L,,C_1210_3225Metric,
9,1,C13,220 uF,EEE-HB0J221AP,,CP_Elec_8x10,
10,1,C3,470 uF,EEV-FK1H471M,,CP_Elec_16x17.5,
11,1,D1,N/A,CD-MBL206SL,,Diode_Bridge_Bourns_CD-MBL2xxS,
12,3,D5 D7 D9,N/A,1N4148W,,D_SOD-123,
13,1,F1,300 mA,2920L030DR,,Fuse_2920_7451Metric,
14,1,J1,7.5 TO 40 V,694106301002,,BarrelJack_Horizontal,
15,2,J11 J12,HVAC,1862039,,PhoenixContact_SPTAF_1_12-3.5-IL_1x12_P3.50mm_Vertical,
16,3,K1 K2 K3,G5Q-1-DC5,G5Q-1-DC5,,Relay_SPDT_Omron-G5Q-1,
17,1,L1,15 uH,7447709150,MSS1210-153MEB,L_Wuerth_WE-PD-Typ-LS,
18,8,Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q13,2N6073B,2N6073BG,,TO-225-3_Vertical,
19,4,Q2 Q3 Q4 Q5,2N7002,2N7002,,SOT-23,
20,1,Q1,TEPT5700,TEPT5700,,LED_D5.0mm_Clear,
21,8,R55 R56 R57 R58 R59 R60 R61 R62,39,ERJ-P06J390V,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
22,1,R15,120,RT0805FRE07120RL,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
23,8,R39 R40 R41 R42 R43 R44 R45 R46,180,RT0805FRE07180RL,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
24,8,R31 R32 R33 R34 R35 R36 R37 R38,270,RT0805FRE07270RL,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
25,3,R20 R21 R22,560,RT0805FRE07560RL,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
26,8,R47 R48 R49 R50 R51 R52 R53 R54,820,RT0805FRE07820RL,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
27,5,R24 R25 R28 R29 R30,1K5,RT0805FRE071K5L,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
28,1,R12,1K6,RT0805FRE071K6L,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
29,2,R26 R27,2K7,RT0805FRE072K7L,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
30,2,R7 R8,3K3,RT0805FRE073K3L,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
31,1,R14,5K,CRCW08055K00JNTA,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
32,1,R16,8K2,RT0805FRE078K2L,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
33,11,R1 R2 R3 R4 R5 R6 R13 R17 R18 R19 R23,10K,RC0805FR-0710KL,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
34,1,R11,24.9K,RT0805FRE0724K9L,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
