"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part","PartAlt"
"1","4","C1, C6, C7, C13","4.7 uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C2012X5R1H475K125AB",""
"2","16","C2, C4, C10, C11, C15, C17, C19, C23, C24, C25, C26, C27, C28, C29, C30, C31","100 nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R7BB104",""
"3","1","C3","10 uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C2012X5R1V106K085AC",""
"4","1","C5","100 µF","Device:CP","Capacitor_SMD:CP_Elec_8x10","https://industrial.panasonic.com/ww/products/capacitors/polymer-capacitors/os-con/svf/25SVF100M","25SVF100M",""
"5","1","C8","220 nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C2012X5R1H224K125AA",""
"6","3","C9, C20, C21","1 uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C0805C105K4RACTU",""
"7","3","C12, C14, C16","47 uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","GRM32ER61C476KE15L",""
"8","2","C18, C22","10 uF","Device:CP","Capacitor_SMD:CP_Elec_5x5.8","https://www.cde.com/resources/catalogs/AFK.pdf","EEE-HP0J100R",""
"9","2","D1, D2","MBR230S1F-7","Device:D_Schottky","Diode_SMD:D_SOD-123F","https://www.diodes.com/assets/Datasheets/MBR230S1F.pdf","MBR230S1F-7",""
"10","1","D3","TX","Device:LED","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216QBC/D",""
"11","1","D4","RX","Device:LED","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216SURCK",""
"12","1","D5","VBUS","Device:LED","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216ZGC",""
"13","1","D6, D7","Vx","Device:LED","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","597-6901-607F",""
"14","1","D8","STATUS","Device:LED","LED_SMD:LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm","~","APTL3216SECK",""
"15","1","F1","750 mA","Device:Polyfuse","Fuse:Fuse_2920_7451Metric","http://m.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_2920l_datasheet.pdf.pdf","2920L075",""
"16","1","L1","15 uH","Device:L","Inductor_SMD:L_Wuerth_WE-PD-Typ-LS","~","7447709150","MSS1210-153MEB"
"17","2","Q1, Q2","MMSS8050","ClimateSprinklerController:MMSS8050","Package_TO_SOT_SMD:SOT-23","https://www.mccsemi.com/pdf/Products/MMSS8050(SOT-23).pdf","MMSS8050-H-TP",""
"18","1","Q3","TEPT5700","Device:Q_Photo_NPN","LED_THT:LED_D5.0mm_Clear","~","TEPT5700",""
"19","1","R1","4K7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RT0805FRE074K7L",""
"20","12","R2, R5, R7, R11, R12, R13, R14, R15, R22, R24, R25, R26","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RC0805FR-0710KL",""
