Component,Quantity Per PCB,References,Value,MPN1,MPN2,Footprint,Population
1,16,C2 C4 C10 C11 C15 C17 C19 C23 C24 C25 C26 C27 C28 C29 C30 C31,100 nF,CC0805KRX7R7BB104,,C_0805_2012Metric,
2,1,C8,220 nF,C2012X5R1H224K125AA,,C_0805_2012Metric,
3,3,C9 C20 C21,1 uF,C0805C105K4RACTU,,C_0805_2012Metric,
4,4,C1 C6 C7 C13,4.7 uF,C2012X5R1H475K125AB,,C_0805_2012Metric,
5,2,C18 C22,10 uF,EEE-HP0J100R,,CP_Elec_5x5.8,
6,1,C3,10 uF,C2012X5R1V106K085AC,,C_0805_2012Metric,
7,3,C12 C14 C16,47 uF,GRM32ER61C476KE15L,,C_1210_3225Metric,
8,1,C5,100 µF,25SVF100M,,CP_Elec_8x10,
9,2,D1 D2,N/A,MBR230S1F-7,,D_SOD-123F,
10,1,F1,750 mA,2920L075,,Fuse_2920_7451Metric,
11,1,J2,5 TO 40 V*,694106301002,,BarrelJack_Horizontal,
12,1,J1,N/A,105017-0001,,USB_Micro-B_Molex-105017-0001,
13,1,L1,15 uH,7447709150,MSS1210-153MEB,L_Wuerth_WE-PD-Typ-LS,
14,2,Q1 Q2,MMSS8050,MMSS8050,,SOT-23,
15,1,Q3,TEPT5700,TEPT5700,,LED_D5.0mm_Clear,
16,2,R17 R18,4.7,RC0805FR-074R7L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
17,1,R21,120,RT0805FRE07120RL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
18,1,R3,1K2,RT0805FRE072K7L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
19,1,R19,1K6,RT0805FRE071K6L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
20,1,R4,2K7,RT0805FRE072K7L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
21,2,R6 R8,3K3,RT0805FRE073K3L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
22,1,R1,4K7,RT0805FRE074K7L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
23,1,R23,5K,CRCW08055K00JNTA,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
24,1,R16,8K2,RT0805FRE078K2L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
25,12,R2 R5 R7 R11 R12 R13 R14 R15 R22 R24 R25 R26,10K,RC0805FR-0710KL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
26,1,R10,24.9K,RT0805FRE0724K9L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
27,2,R9 R20,100K,RC0805FR-07100KL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
28,1,SW3,MODE,PTS645VK582LFS,,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,
29,1,SW1,POWER,48BFSP1M6QT,,SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6,
30,1,SW2,RESET,PTS645VK582LFS,,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,
31,2,TH1 TH2,10K,NXFT15XH103FA2B100,,PinSocket_1x02_P2.54mm_Vertical,
32,1,U10,BME280,BME280,,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,
33,1,U8,BME680,BME680,,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,
34,1,U11,DHT22,DHT22,,PinSocket_1x04_P2.54mm_Vertical,
35,1,U1,ESP32-WROVER,ESP32-WROVER,,ESP32-WROVER,
36,1,U2,FT232RL,FT232RL,,SSOP-28_5.3x10.2mm_P0.65mm,
37,1,U6,LD1086DT33TR,LD1086DT33TR,,TO-252-2,
38,1,U3,LMR36520,LMR36520ADDAR,,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,
39,1,U5,SGP40,SGP40,,DFN-6-1EP_2.44x2.44mm_P0.8mm_EP1.25x1.7mm,
40,1,U7,SHTC3,SHTC3,,AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm,
41,1,U9,TMP117,TMP117MAIDRVR,,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,
42,1,U4,TPS22917DBV,TPS22917DBV,,SOT-23-6,





Component Groups:,53
Component Count:,96
Fitted Components:,82
Number of PCBs:,1
Total components:,82
Schematic Version:,2
Schematic Date:,2020-08-14
PCB Variant:,udefault
BoM Date:,"Thursday, March 25, 2021 at 12:49:10 AM"
Schematic Source:,ClimateSprinklerController.sch
KiCad Version:,Eeschema (5.1.9-0-10_14)
